Cell Identity, Cell Eccentricity (a.u)
1, 0.43446
2, 0.42865
3, 0.38143
4, 0.58521
5, 0.36292
6, 0.53686
7, 0.41638
8, 0.30642
9, 0.34099
10, 0.32222
