Cell Identity, Cell Area (pixel^2), Cell Perimeter (pixel)
1, 1295, 129.701
2, 3706, 237.338
3, 6039, 338.869
4, 5805, 298.761
5, 4341, 269.22
6, 6595, 369.923
7, 3740, 256.235
8, 7251, 383.624
9, 3850, 244.145
