Cell Identity, Cell Eccentricity (a.u)
1, 0.22397
2, 0.31934
3, 0.36888
4, 0.33125
5, 0.40312
6, 0.34298
7, 0.55436
8, 0.49487
9, 0.34054
10, 0.46628
11, 0.39154
12, 0.16492
