Cell Identity, Cell Area (pixel^2), Cell Perimeter (pixel)
1, 4286, 247.172
2, 3189, 218.324
3, 6097, 289.606
4, 1625, 165.32
5, 2350, 179.382
6, 7614, 368.568
7, 1271, 132.472
8, 5034, 257.7
9, 6799, 337.69
10, 3693, 221.442
