Cell Identity, Cell Eccentricity (a.u)
1, 0.32015
2, 0.50845
3, 0.37212
4, 0.5373
5, 0.24642
6, 0.37118
7, 0.46172
8, 0.45946
9, 0.24255
10, 0.47893
11, 0.29764
12, 0.4
