Cell Identity, Cell Eccentricity (a.u)
1, 0.28542
2, 0.3695
3, 0.23776
4, 0.25131
5, 0.42599
6, 0.49054
7, 0.62164
8, 0.46301
9, 0.61805
10, 0.40925
11, 0.26772
12, 0.12722
13, 0.28416
14, 0.10792
