Cell Identity, Cell Area (pixel^2), Cell Perimeter (pixel)
1, 1436, 137.583
2, 5789, 280.94
3, 7544, 344.157
4, 2991, 200.678
5, 2574, 251.695
6, 4651, 246.543
7, 3147, 214.115
8, 1657, 156.968
9, 5923, 314.912
10, 7644, 375.208
11, 6792, 312.706
12, 3947, 290.415
13, 4870, 266.133
14, 5278, 260.248
15, 4071, 237.925
