Cell Identity, Cell Area (pixel^2), Cell Perimeter (pixel)
1, 4087, 232.798
2, 4423, 255.352
3, 3701, 221.625
4, 6960, 306.412
5, 986, 116.312
6, 3358, 225.049
7, 3414, 246.244
8, 1972, 172.243
9, 5734, 315.16
10, 4804, 264.754
11, 7480, 337.086
12, 5261, 273.374
13, 4275, 235.246
14, 4544, 247.411
