Cell Identity, Cell Area (pixel^2), Cell Perimeter (pixel)
1, 4275, 235.394
2, 1739, 153.67
3, 4367, 253.87
4, 7133, 314.161
5, 3822, 235.147
6, 1525, 146.862
7, 5937, 306.469
8, 4981, 278.168
9, 8082, 350.088
10, 4712, 271.578
11, 4228, 243.102
12, 4611, 243.591
