Cell Identity, Cell Eccentricity (a.u)
1, 0.33962
2, 0.3001
3, 0.50812
4, 0.35843
5, 0.50932
6, 0.2371
7, 0.15773
8, 0.45218
9, 0.5802
10, 0.56578
11, 0.42822
12, 0.66893
13, 0.32326
14, 0.037138
15, 0.13965
